"Source:","C:\Users\cwx\Documents\Github\jlink_3v3_supply\jlink_power.kicad_sch"
"Date:","5/2/2024 11:03:18 pm"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","25"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MF","MP","Package","Price","SnapEDA_Link"
"1","2","C1, C3","10uF","Device:C_Small","Resistor_SMD:R_1210_3225Metric_Pad1.30x2.65mm_HandSolder","~","","","","","","","","",""
"2","2","C2, C4","100nF","Device:C_Small","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"3","2","D1, D2","LED","Device:LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","","","","","","",""
"4","1","J1","JLINK IN","Connector_Generic:Conn_02x10_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Horizontal","~","","","","","","","","",""
"5","1","J2","Conn_02x10_Odd_Even","Connector_Generic:Conn_02x10_Odd_Even","Connector_IDC:IDC-Header_2x10_P2.54mm_Horizontal","~","","","","","","","","",""
"6","1","J3","Conn_01x04_Pin","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~","","","","","","","","",""
"7","1","J4","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~","","","","","","","","",""
"8","1","R1","620","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"9","1","R2","510","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"10","1","R3","390","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"11","1","R4","240","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"12","1","R5","180","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"13","1","R6","20","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"14","1","R7","400","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"15","2","R8, R9","1k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","","","","","","","","",""
"16","1","SW2","SW_DIP_x06","Switch:SW_DIP_x06","Button_Switch_THT:SW_DIP_SPSTx06_Slide_9.78x17.42mm_W7.62mm_P2.54mm","~","","","","","","","","",""
"17","3","TP1, TP2, TP3","TestPoint","Connector:TestPoint","TestPoint:TestPoint_Pad_D1.0mm","~","","","","","","","","",""
"18","1","U1","SK12D07VG4","SK12D07VG4:SK12D07VG4","SK12D07VG4:SK12D07VG4","","","Not in stock","https://www.snapeda.com/parts/SK12D07VG4/C%2526K/view-part/?ref=eda","Switch Slide ON ON SPDT Side Slide 0.3A 30VDC PC Pins Bracket Mount/Through Hole Bulk","C&K","SK12D07VG4","None","None","https://www.snapeda.com/parts/SK12D07VG4/C%2526K/view-part/?ref=snap"
"19","1","U2","AMS1117","Regulator_Linear:AMS1117","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","","",""
